code_muni;Nome;Área Colhida há (2024)
3169406;Três Pontas (MG);17571
3169505;Tumiritinga (MG);-
3169604;Tupaciguara (MG);191
3169703;Turmalina (MG);650
3169802;Turvolândia (MG);1600
3169901;Ubá (MG);-
3170008;Ubaí (MG);-
3170057;Ubaporanga (MG);3545
3170107;Uberaba (MG);408
3170206;Uberlândia (MG);460
3170305;Umburatiba (MG);...
3170404;Unaí (MG);3770
3170438;União de Minas (MG);-
3170479;Uruana de Minas (MG);-
3170503;Urucânia (MG);-
3170529;Urucuia (MG);553
3170578;Vargem Alegre (MG);64
3170602;Vargem Bonita (MG);2460
3170651;Vargem Grande do Rio Pardo (MG);85
3170701;Varginha (MG);7950
3170750;Varjão de Minas (MG);2337
3170800;Várzea da Palma (MG);700
3170909;Varzelândia (MG);-
3171006;Vazante (MG);...
3171030;Verdelândia (MG);-
3171071;Veredinha (MG);140
3171105;Veríssimo (MG);-
3171154;Vermelho Novo (MG);2240
3171204;Vespasiano (MG);...
3171303;Viçosa (MG);825
3171402;Vieiras (MG);650
3171501;Mathias Lobato (MG);-
3171600;Virgem da Lapa (MG);-
3171709;Virgínia (MG);50
3171808;Virginópolis (MG);80
3171907;Virgolândia (MG);10
3172004;Visconde do Rio Branco (MG);3
3172103;Volta Grande (MG);-
3172202;Wenceslau Braz (MG);-
